attack,target_net,distance_net,eps,adv_miss_rate,prt_miss_rate
pgd,vgg,vgg,0.050,0.989,0.072
pgd,vgg,vgg,0.118,0.994,0.168
pgd,vgg,vgg,0.186,0.998,0.280
pgd,vgg,vgg,0.254,0.999,0.399
pgd,vgg,vgg,0.321,1.000,0.503
pgd,vgg,vgg,0.389,1.000,0.611
pgd,vgg,vgg,0.457,1.000,0.709
pgd,vgg,vgg,0.525,1.000,0.789
pgd,vgg,vgg,0.593,1.000,0.850
pgd,vgg,vgg,0.661,1.000,0.896
pgd,vgg,vgg,0.729,1.000,0.930
pgd,vgg,vgg,0.796,1.000,0.953
pgd,vgg,vgg,0.864,1.000,0.969
pgd,vgg,vgg,0.932,1.000,0.979
pgd,vgg,vgg,1.000,1.000,0.986
pgd,vgg,alex,0.050,0.989,0.072
pgd,vgg,alex,0.118,0.994,0.166
pgd,vgg,alex,0.186,0.998,0.281
pgd,vgg,alex,0.254,0.999,0.395
pgd,vgg,alex,0.321,1.000,0.506
pgd,vgg,alex,0.389,1.000,0.615
pgd,vgg,alex,0.457,1.000,0.711
pgd,vgg,alex,0.525,1.000,0.788
pgd,vgg,alex,0.593,1.000,0.851
pgd,vgg,alex,0.661,1.000,0.897
pgd,vgg,alex,0.729,1.000,0.930
pgd,vgg,alex,0.796,1.000,0.952
pgd,vgg,alex,0.864,1.000,0.969
pgd,vgg,alex,0.932,1.000,0.980
pgd,vgg,alex,1.000,1.000,0.986
pgd,vgg,squeeze,0.050,0.989,0.072
pgd,vgg,squeeze,0.118,0.994,0.168
pgd,vgg,squeeze,0.186,0.998,0.279
pgd,vgg,squeeze,0.254,0.999,0.396
pgd,vgg,squeeze,0.321,1.000,0.509
pgd,vgg,squeeze,0.389,1.000,0.615
pgd,vgg,squeeze,0.457,1.000,0.710
pgd,vgg,squeeze,0.525,1.000,0.787
pgd,vgg,squeeze,0.593,1.000,0.850
pgd,vgg,squeeze,0.661,1.000,0.897
pgd,vgg,squeeze,0.729,1.000,0.930
pgd,vgg,squeeze,0.796,1.000,0.954
pgd,vgg,squeeze,0.864,1.000,0.968
pgd,vgg,squeeze,0.932,1.000,0.979
pgd,vgg,squeeze,1.000,1.000,0.986
pgd,alex,alex,0.050,0.074,0.053
pgd,alex,alex,0.118,0.199,0.149
pgd,alex,alex,0.186,0.325,0.250
pgd,alex,alex,0.254,0.455,0.350
pgd,alex,alex,0.321,0.583,0.441
pgd,alex,alex,0.389,0.693,0.523
pgd,alex,alex,0.457,0.782,0.594
pgd,alex,alex,0.525,0.846,0.653
pgd,alex,alex,0.593,0.895,0.706
pgd,alex,alex,0.661,0.927,0.752
pgd,alex,alex,0.729,0.950,0.790
pgd,alex,alex,0.796,0.966,0.823
pgd,alex,alex,0.864,0.972,0.851
pgd,alex,alex,0.932,0.979,0.873
pgd,alex,alex,1.000,0.982,0.891
pgd,squeeze,squeeze,0.050,0.200,0.127
pgd,squeeze,squeeze,0.118,0.410,0.290
pgd,squeeze,squeeze,0.186,0.583,0.425
pgd,squeeze,squeeze,0.254,0.725,0.536
pgd,squeeze,squeeze,0.321,0.821,0.626
pgd,squeeze,squeeze,0.389,0.884,0.703
pgd,squeeze,squeeze,0.457,0.927,0.762
pgd,squeeze,squeeze,0.525,0.947,0.809
pgd,squeeze,squeeze,0.593,0.962,0.844
pgd,squeeze,squeeze,0.661,0.973,0.872
pgd,squeeze,squeeze,0.729,0.979,0.894
pgd,squeeze,squeeze,0.796,0.984,0.912
pgd,squeeze,squeeze,0.864,0.988,0.926
pgd,squeeze,squeeze,0.932,0.993,0.936
pgd,squeeze,squeeze,1.000,0.994,0.946
wass,vgg,vgg,0.001,0.818,0.004
wass,vgg,vgg,0.006,0.938,0.020
wass,vgg,vgg,0.011,0.959,0.030
wass,vgg,vgg,0.017,0.972,0.039
wass,vgg,vgg,0.022,0.978,0.043
wass,vgg,vgg,0.028,0.984,0.051
wass,vgg,vgg,0.034,0.987,0.057
wass,vgg,vgg,0.039,0.990,0.062
wass,vgg,vgg,0.044,0.992,0.069
wass,vgg,vgg,0.050,0.995,0.074
wass,vgg,vgg,0.118,1.000,0.126
wass,vgg,vgg,0.186,1.000,0.167
wass,vgg,vgg,0.254,1.000,0.202
wass,vgg,vgg,0.321,1.000,0.233
wass,vgg,vgg,0.389,1.000,0.259
wass,vgg,vgg,0.457,1.000,0.287
wass,vgg,vgg,0.525,1.000,0.310
wass,vgg,vgg,0.593,1.000,0.330
wass,vgg,vgg,0.661,1.000,0.345
wass,vgg,vgg,0.729,1.000,0.362
wass,vgg,vgg,0.796,1.000,0.378
wass,vgg,vgg,0.864,1.000,0.389
wass,vgg,vgg,0.932,1.000,0.397
wass,vgg,vgg,1.000,1.000,0.411
wass,vgg,alex,0.001,0.818,0.005
wass,vgg,alex,0.006,0.938,0.020
wass,vgg,alex,0.011,0.959,0.031
wass,vgg,alex,0.017,0.972,0.038
wass,vgg,alex,0.022,0.978,0.045
wass,vgg,alex,0.028,0.984,0.052
wass,vgg,alex,0.034,0.987,0.057
wass,vgg,alex,0.039,0.990,0.064
wass,vgg,alex,0.044,0.992,0.068
wass,vgg,alex,0.050,0.995,0.074
wass,vgg,alex,0.118,1.000,0.125
wass,vgg,alex,0.186,1.000,0.167
wass,vgg,alex,0.254,1.000,0.200
wass,vgg,alex,0.321,1.000,0.232
wass,vgg,alex,0.389,1.000,0.261
wass,vgg,alex,0.457,1.000,0.286
wass,vgg,alex,0.525,1.000,0.308
wass,vgg,alex,0.593,1.000,0.330
wass,vgg,alex,0.661,1.000,0.345
wass,vgg,alex,0.729,1.000,0.361
wass,vgg,alex,0.796,1.000,0.375
wass,vgg,alex,0.864,1.000,0.389
wass,vgg,alex,0.932,1.000,0.404
wass,vgg,alex,1.000,1.000,0.413
wass,vgg,squeeze,0.001,0.818,0.004
wass,vgg,squeeze,0.006,0.938,0.021
wass,vgg,squeeze,0.011,0.959,0.030
wass,vgg,squeeze,0.017,0.972,0.038
wass,vgg,squeeze,0.022,0.978,0.044
wass,vgg,squeeze,0.028,0.984,0.052
wass,vgg,squeeze,0.034,0.987,0.058
wass,vgg,squeeze,0.039,0.990,0.063
wass,vgg,squeeze,0.044,0.992,0.069
wass,vgg,squeeze,0.050,0.995,0.074
wass,vgg,squeeze,0.118,1.000,0.127
wass,vgg,squeeze,0.186,1.000,0.169
wass,vgg,squeeze,0.254,1.000,0.202
wass,vgg,squeeze,0.321,1.000,0.234
wass,vgg,squeeze,0.389,1.000,0.260
wass,vgg,squeeze,0.457,1.000,0.285
wass,vgg,squeeze,0.525,1.000,0.308
wass,vgg,squeeze,0.593,1.000,0.328
wass,vgg,squeeze,0.661,1.000,0.348
wass,vgg,squeeze,0.729,1.000,0.359
wass,vgg,squeeze,0.796,1.000,0.380
wass,vgg,squeeze,0.864,1.000,0.393
wass,vgg,squeeze,0.932,1.000,0.401
wass,vgg,squeeze,1.000,1.000,0.415
wass,alex,alex,0.001,0.869,0.002
wass,alex,alex,0.006,0.887,0.011
wass,alex,alex,0.011,0.905,0.018
wass,alex,alex,0.017,0.919,0.025
wass,alex,alex,0.022,0.931,0.030
wass,alex,alex,0.028,0.938,0.036
wass,alex,alex,0.034,0.943,0.041
wass,alex,alex,0.039,0.950,0.047
wass,alex,alex,0.044,0.956,0.052
wass,alex,alex,0.050,0.960,0.056
wass,alex,alex,0.118,0.987,0.105
wass,alex,alex,0.186,0.993,0.142
wass,alex,alex,0.254,0.996,0.175
wass,alex,alex,0.321,0.997,0.206
wass,alex,alex,0.389,0.998,0.233
wass,alex,alex,0.457,0.999,0.258
wass,alex,alex,0.525,0.999,0.282
wass,alex,alex,0.593,0.999,0.301
wass,alex,alex,0.661,0.999,0.318
wass,alex,alex,0.729,0.999,0.339
wass,alex,alex,0.796,0.999,0.355
wass,alex,alex,0.864,0.999,0.368
wass,alex,alex,0.932,0.999,0.383
wass,alex,alex,1.000,1.000,0.394
wass,squeeze,squeeze,0.001,0.839,0.008
wass,squeeze,squeeze,0.006,0.893,0.037
wass,squeeze,squeeze,0.011,0.926,0.057
wass,squeeze,squeeze,0.017,0.945,0.071
wass,squeeze,squeeze,0.022,0.958,0.089
wass,squeeze,squeeze,0.028,0.967,0.100
wass,squeeze,squeeze,0.034,0.974,0.113
wass,squeeze,squeeze,0.039,0.978,0.123
wass,squeeze,squeeze,0.044,0.981,0.134
wass,squeeze,squeeze,0.050,0.985,0.146
wass,squeeze,squeeze,0.118,0.996,0.239
wass,squeeze,squeeze,0.186,0.999,0.302
wass,squeeze,squeeze,0.254,0.999,0.352
wass,squeeze,squeeze,0.321,0.999,0.392
wass,squeeze,squeeze,0.389,0.999,0.425
wass,squeeze,squeeze,0.457,0.999,0.450
wass,squeeze,squeeze,0.525,1.000,0.473
wass,squeeze,squeeze,0.593,1.000,0.495
wass,squeeze,squeeze,0.661,0.999,0.514
wass,squeeze,squeeze,0.729,1.000,0.529
wass,squeeze,squeeze,0.796,1.000,0.544
wass,squeeze,squeeze,0.864,1.000,0.558
wass,squeeze,squeeze,0.932,1.000,0.571
wass,squeeze,squeeze,1.000,1.000,0.580
iwass,vgg,vgg,0.001,0.567,0.532
iwass,vgg,vgg,0.006,0.778,0.540
iwass,vgg,vgg,0.011,0.840,0.542
iwass,vgg,vgg,0.017,0.876,0.552
iwass,vgg,vgg,0.022,0.900,0.548
iwass,vgg,vgg,0.028,0.911,0.554
iwass,vgg,vgg,0.034,0.921,0.561
iwass,vgg,vgg,0.039,0.927,0.558
iwass,vgg,vgg,0.044,0.934,0.567
iwass,vgg,vgg,0.050,0.937,0.557
iwass,vgg,vgg,0.118,0.951,0.604
iwass,vgg,vgg,0.186,0.953,0.620
iwass,vgg,vgg,0.254,0.954,0.645
iwass,vgg,vgg,0.321,0.954,0.655
iwass,vgg,vgg,0.389,0.954,0.665
iwass,vgg,vgg,0.457,0.954,0.680
iwass,vgg,vgg,0.525,0.954,0.686
iwass,vgg,vgg,0.593,0.954,0.687
iwass,vgg,vgg,0.661,0.954,0.700
iwass,vgg,vgg,0.729,0.954,0.701
iwass,vgg,vgg,0.796,0.954,0.705
iwass,vgg,vgg,0.864,0.954,0.707
iwass,vgg,vgg,0.932,0.954,0.715
iwass,vgg,vgg,1.000,0.954,0.714
iwass,vgg,alex,0.001,0.567,0.544
iwass,vgg,alex,0.006,0.778,0.545
iwass,vgg,alex,0.011,0.840,0.552
iwass,vgg,alex,0.017,0.876,0.556
iwass,vgg,alex,0.022,0.900,0.551
iwass,vgg,alex,0.028,0.911,0.561
iwass,vgg,alex,0.034,0.921,0.563
iwass,vgg,alex,0.039,0.927,0.567
iwass,vgg,alex,0.044,0.934,0.567
iwass,vgg,alex,0.050,0.937,0.567
iwass,vgg,alex,0.118,0.951,0.612
iwass,vgg,alex,0.186,0.953,0.626
iwass,vgg,alex,0.254,0.954,0.640
iwass,vgg,alex,0.321,0.954,0.661
iwass,vgg,alex,0.389,0.954,0.667
iwass,vgg,alex,0.457,0.954,0.677
iwass,vgg,alex,0.525,0.954,0.688
iwass,vgg,alex,0.593,0.954,0.695
iwass,vgg,alex,0.661,0.954,0.700
iwass,vgg,alex,0.729,0.954,0.703
iwass,vgg,alex,0.796,0.954,0.701
iwass,vgg,alex,0.864,0.954,0.714
iwass,vgg,alex,0.932,0.954,0.713
iwass,vgg,alex,1.000,0.954,0.714
iwass,vgg,squeeze,0.001,0.567,0.541
iwass,vgg,squeeze,0.006,0.778,0.545
iwass,vgg,squeeze,0.011,0.840,0.549
iwass,vgg,squeeze,0.017,0.876,0.546
iwass,vgg,squeeze,0.022,0.900,0.554
iwass,vgg,squeeze,0.028,0.911,0.554
iwass,vgg,squeeze,0.034,0.921,0.565
iwass,vgg,squeeze,0.039,0.927,0.564
iwass,vgg,squeeze,0.044,0.934,0.576
iwass,vgg,squeeze,0.050,0.937,0.573
iwass,vgg,squeeze,0.118,0.951,0.606
iwass,vgg,squeeze,0.186,0.953,0.631
iwass,vgg,squeeze,0.254,0.954,0.638
iwass,vgg,squeeze,0.321,0.954,0.658
iwass,vgg,squeeze,0.389,0.954,0.675
iwass,vgg,squeeze,0.457,0.954,0.683
iwass,vgg,squeeze,0.525,0.954,0.683
iwass,vgg,squeeze,0.593,0.954,0.702
iwass,vgg,squeeze,0.661,0.954,0.695
iwass,vgg,squeeze,0.729,0.954,0.701
iwass,vgg,squeeze,0.796,0.954,0.709
iwass,vgg,squeeze,0.864,0.954,0.714
iwass,vgg,squeeze,0.932,0.954,0.716
iwass,vgg,squeeze,1.000,0.954,0.719
iwass,alex,alex,0.001,0.868,0.630
iwass,alex,alex,0.006,0.906,0.616
iwass,alex,alex,0.011,0.931,0.623
iwass,alex,alex,0.017,0.944,0.630
iwass,alex,alex,0.022,0.953,0.628
iwass,alex,alex,0.028,0.960,0.626
iwass,alex,alex,0.034,0.963,0.647
iwass,alex,alex,0.039,0.966,0.640
iwass,alex,alex,0.044,0.969,0.650
iwass,alex,alex,0.050,0.972,0.648
iwass,alex,alex,0.118,0.984,0.682
iwass,alex,alex,0.186,0.987,0.705
iwass,alex,alex,0.254,0.987,0.718
iwass,alex,alex,0.321,0.987,0.734
iwass,alex,alex,0.389,0.988,0.745
iwass,alex,alex,0.457,0.988,0.758
iwass,alex,alex,0.525,0.988,0.760
iwass,alex,alex,0.593,0.988,0.768
iwass,alex,alex,0.661,0.988,0.771
iwass,alex,alex,0.729,0.988,0.778
iwass,alex,alex,0.796,0.988,0.786
iwass,alex,alex,0.864,0.988,0.788
iwass,alex,alex,0.932,0.988,0.789
iwass,alex,alex,1.000,0.988,0.793
iwass,squeeze,squeeze,0.001,0.843,0.667
iwass,squeeze,squeeze,0.006,0.913,0.671
iwass,squeeze,squeeze,0.011,0.934,0.678
iwass,squeeze,squeeze,0.017,0.947,0.686
iwass,squeeze,squeeze,0.022,0.957,0.682
iwass,squeeze,squeeze,0.028,0.961,0.692
iwass,squeeze,squeeze,0.034,0.966,0.708
iwass,squeeze,squeeze,0.039,0.969,0.706
iwass,squeeze,squeeze,0.044,0.973,0.714
iwass,squeeze,squeeze,0.050,0.974,0.707
iwass,squeeze,squeeze,0.118,0.983,0.754
iwass,squeeze,squeeze,0.186,0.984,0.774
iwass,squeeze,squeeze,0.254,0.985,0.796
iwass,squeeze,squeeze,0.321,0.985,0.813
iwass,squeeze,squeeze,0.389,0.985,0.820
iwass,squeeze,squeeze,0.457,0.985,0.822
iwass,squeeze,squeeze,0.525,0.985,0.832
iwass,squeeze,squeeze,0.593,0.985,0.837
iwass,squeeze,squeeze,0.661,0.985,0.845
iwass,squeeze,squeeze,0.729,0.985,0.852
iwass,squeeze,squeeze,0.796,0.985,0.844
iwass,squeeze,squeeze,0.864,0.985,0.851
iwass,squeeze,squeeze,0.932,0.985,0.858
iwass,squeeze,squeeze,1.000,0.985,0.847
